2023-06-20 22:56:28,565 INFO    Thread-103:18552 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-06-20 22:56:28,566 INFO    Thread-103:18552 [wandb_setup.py:_flush():76] Configure stats pid to 18552
2023-06-20 22:56:28,566 INFO    Thread-103:18552 [wandb_setup.py:_flush():76] Loading settings from /Users/sizhuang/.config/wandb/settings
2023-06-20 22:56:28,566 INFO    Thread-103:18552 [wandb_setup.py:_flush():76] Loading settings from /Users/sizhuang/Desktop/GitHub Repos/IterativeMethods/wandb/settings
2023-06-20 22:56:28,566 INFO    Thread-103:18552 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'IterativeMethods', 'entity': 'sizhuang', 'root_dir': '/Users/sizhuang/Desktop/GitHub Repos/IterativeMethods', 'run_id': 'os8qafpe', 'sweep_param_path': '/Users/sizhuang/Desktop/GitHub Repos/IterativeMethods/wandb/sweep-36cbst71/config-os8qafpe.yaml', 'sweep_id': '36cbst71'}
2023-06-20 22:56:28,566 INFO    Thread-103:18552 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-06-20 22:56:28,566 INFO    Thread-103:18552 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'GCNexperiments/HP_sweep.py', 'program': '/Users/sizhuang/Desktop/GitHub Repos/IterativeMethods/GCNexperiments/HP_sweep.py'}
2023-06-20 22:56:28,566 INFO    Thread-103:18552 [wandb_init.py:_log_setup():507] Logging user logs to /Users/sizhuang/Desktop/GitHub Repos/IterativeMethods/wandb/run-20230620_225628-os8qafpe/logs/debug.log
2023-06-20 22:56:28,566 INFO    Thread-103:18552 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/sizhuang/Desktop/GitHub Repos/IterativeMethods/wandb/run-20230620_225628-os8qafpe/logs/debug-internal.log
2023-06-20 22:56:28,566 INFO    Thread-103:18552 [wandb_init.py:init():547] calling init triggers
2023-06-20 22:56:28,566 INFO    Thread-103:18552 [wandb_init.py:init():554] wandb.init called with sweep_config: {'dropout': 0.5, 'hid_dim': 16, 'learning_rate': 0.019, 'num_epochs': 200, 'num_iterations': 3, 'num_runs': 5, 'smooth_fac': 0.9000000000000004, 'weight_decay': 0.0004}
config: {}
2023-06-20 22:56:28,566 INFO    Thread-103:18552 [wandb_init.py:init():596] starting backend
2023-06-20 22:56:28,566 INFO    Thread-103:18552 [wandb_init.py:init():600] setting up manager
2023-06-20 22:56:28,571 INFO    Thread-103:18552 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-06-20 22:56:28,575 INFO    Thread-103:18552 [wandb_init.py:init():606] backend started and connected
2023-06-20 22:56:28,581 INFO    Thread-103:18552 [wandb_run.py:_config_callback():1283] config_cb None None {'dropout': 0.5, 'hid_dim': 16, 'learning_rate': 0.019, 'num_epochs': 200, 'num_iterations': 3, 'num_runs': 5, 'smooth_fac': 0.9000000000000004, 'weight_decay': 0.0004}
2023-06-20 22:56:28,585 INFO    Thread-103:18552 [wandb_init.py:init():703] updated telemetry
2023-06-20 22:56:28,602 INFO    Thread-103:18552 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-06-20 22:56:28,932 INFO    Thread-103:18552 [wandb_run.py:_on_init():2176] communicating current version
2023-06-20 22:56:29,095 INFO    Thread-103:18552 [wandb_run.py:_on_init():2185] got version response 
2023-06-20 22:56:29,095 INFO    Thread-103:18552 [wandb_init.py:init():787] starting run threads in backend
2023-06-20 22:56:29,160 INFO    Thread-103:18552 [wandb_run.py:_console_start():2155] atexit reg
2023-06-20 22:56:29,161 INFO    Thread-103:18552 [wandb_run.py:_redirect():2010] redirect: SettingsConsole.WRAP_RAW
2023-06-20 22:56:29,161 INFO    Thread-103:18552 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-06-20 22:56:29,161 INFO    Thread-103:18552 [wandb_run.py:_redirect():2100] Redirects installed.
2023-06-20 22:56:29,164 INFO    Thread-103:18552 [wandb_init.py:init():828] run started, returning control to user process
2023-06-20 22:56:34,230 INFO    Thread-103:18552 [wandb_run.py:_finish():1890] finishing run sizhuang/IterativeMethods/os8qafpe
2023-06-20 22:56:34,230 INFO    Thread-103:18552 [wandb_run.py:_atexit_cleanup():2124] got exitcode: 0
2023-06-20 22:56:34,230 INFO    Thread-103:18552 [wandb_run.py:_restore():2107] restore
2023-06-20 22:56:34,230 INFO    Thread-103:18552 [wandb_run.py:_restore():2113] restore done
2023-06-20 22:56:36,963 INFO    Thread-103:18552 [wandb_run.py:_footer_history_summary_info():3467] rendering history
2023-06-20 22:56:36,963 INFO    Thread-103:18552 [wandb_run.py:_footer_history_summary_info():3499] rendering summary
2023-06-20 22:56:36,966 INFO    Thread-103:18552 [wandb_run.py:_footer_sync_info():3426] logging synced files
